station,nom_intervenant,num_site,secteur_scian,municipalite,debit_estival_m3s,volume_annuel_moyen_Mm3,premiere_annee,derniere_annee,rang
023403,Corporation internationale Masonite,54700.0,Usines de placages & contreplaqués de feuillus,Lac-Mégantic,0.022175410195141375,0.2929428,2020.0,2024.0,3
023403,SANIMAX ACI INC.,63052.0,Fonte graisse animale & transf. de viande carc.,Lévis,0.008456661688570292,0.1117792,2020.0,2024.0,4
023403,LES LAINAGES VICTOR LTÉE,63022.0,Finissage de textiles & de tissus,Saint-Victor,0.005640350955794504,0.0881006,2020.0,2024.0,5
023403,Club de golf Le Royal Chaudière inc.,46679.0,Terrains de golf & country clubs,Lévis,0.00530950078116476,0.057132067,2020.0,2024.0,6
023403,PAVAGES ABENAKIS LTEE,47570.0,Extraction de pierre,Saint-Georges,0.004833463317123448,0.0247224,2020.0,2024.0,7
023403,CLUB DE GOLF LOTBINIÈRE INC.,45004.0,Terrains de golf & country clubs,Saint-Gilles,0.002504478230784548,0.032715288,2020.0,2024.0,8
023403,2973-9711 Québec inc.,45186.0,Terrains de golf & country clubs,Saint-Benoît-Labre,0.0020782433116774196,0.012150885,2020.0,2024.0,9
023403,Club de golf St-Georges 1964,44437.0,Terrains de golf & country clubs,Saint-Georges,0.002055562220734918,0.01098725,2021.0,2024.0,10
023403,CLUB DE GOLF LOTBINIÈRE INC.,67056.0,Terrains de golf & country clubs,Saint-Gilles,0.0015238487256073277,0.020162698,2020.0,2024.0,11
023403,COOPÉRATIVE DE SOLIDARITÉ DU CLUB DE GOLF DU LAC MÉGANTIC,47842.0,Terrains de golf & country clubs,Frontenac,0.0003153214605734767,0.00417125,2020.0,2024.0,12
023403,Les Produits Forestiers D&G Ltée,73746.0,Scieries & préservation du bois,Saint-Côme--Linière,0.00024385995370370374,0.0023999355,2023.0,2024.0,13
023403,VILLE DE SAINT-GEORGES,46107.0,Centres de ski,Saint-Georges,5.150462962962962e-05,3.6e-05,2021.0,2023.0,14
023422,VILLE DE BEAUCEVILLE,48836.0,Réseaux d'aqueduc & systèmes d'irrigation,Beauceville,0.025748370883114297,0.340247402,2020.0,2024.0,1
023422,GROUPE COLAS QUÉBEC INC.,63194.0,Extraction de pierre,Lévis,0.02370095579450418,0.313293,2023.0,2024.0,2
023422,SANIMAX ACI INC.,63052.0,Fonte graisse animale & transf. de viande carc.,Lévis,0.008456661688570292,0.1117792,2020.0,2024.0,3
023422,LES LAINAGES VICTOR LTÉE,63022.0,Finissage de textiles & de tissus,Saint-Victor,0.005640350955794504,0.0881006,2020.0,2024.0,4
023422,Club de golf Le Royal Chaudière inc.,46679.0,Terrains de golf & country clubs,Lévis,0.00530950078116476,0.057132067,2020.0,2024.0,5
023422,PAVAGES ABENAKIS LTEE,47570.0,Extraction de pierre,Saint-Georges,0.004833463317123448,0.0247224,2020.0,2024.0,6
023422,CLUB DE GOLF LOTBINIÈRE INC.,45004.0,Terrains de golf & country clubs,Saint-Gilles,0.002504478230784548,0.032715288,2020.0,2024.0,7
023422,2973-9711 Québec inc.,45186.0,Terrains de golf & country clubs,Saint-Benoît-Labre,0.0020782433116774196,0.012150885,2020.0,2024.0,8
023422,Club de golf St-Georges 1964,44437.0,Terrains de golf & country clubs,Saint-Georges,0.002055562220734918,0.01098725,2021.0,2024.0,9
023422,CLUB DE GOLF LOTBINIÈRE INC.,67056.0,Terrains de golf & country clubs,Saint-Gilles,0.0015238487256073277,0.020162698,2020.0,2024.0,10
023422,COOPÉRATIVE DE SOLIDARITÉ DU CLUB DE GOLF DU LAC MÉGANTIC,47842.0,Terrains de golf & country clubs,Frontenac,0.0003153214605734767,0.00417125,2020.0,2024.0,11
