station,nom,plan_deau,bv_prim,superfi_km2,n_sites_amont,n_sites_etiage,debit_obs_m3s,q27_ete_m3s,debit_preleve_etiage_m3s,pression_etiage_pct,debit_preleve_mois_01_m3s,debit_preleve_mois_02_m3s,debit_preleve_mois_03_m3s,debit_preleve_mois_04_m3s,debit_preleve_mois_05_m3s,debit_preleve_mois_06_m3s,debit_preleve_mois_07_m3s,debit_preleve_mois_08_m3s,debit_preleve_mois_09_m3s,debit_preleve_mois_10_m3s,debit_preleve_mois_11_m3s,debit_preleve_mois_12_m3s,lat,lon,source_coords,prelevements_caracterises
074902,Natashquan,Natashquan,0749 -Rivière Natashquan,11498.95,0,0,,138.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.1416916515,-61.6101485138,fermee,1
074903,Natashquan,Natashquan,0749 -Rivière Natashquan,15311.52,0,0,,147.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.4275,-61.71222199999998,api,1
075601,Étamaniou,Étamaniou,0756 -Rivière Étamamiou,2863.08,0,0,,36.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3836213839,-59.9898368418,fermee,1
075702,Du Petit Mécatina,Du Petit Mécatina,0757 -Rivière du Petit Mécatina,11779.42,0,0,,116.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.8436303146,-60.1237076857,fermee,1
075705,Du Petit Mécatina,Du Petit Mécatina,0757 -Rivière du Petit Mécatina,18851.58,0,0,,214.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.68083299999999,-59.601944,api,1
076601,Saint-Paul,Saint-Paul,0766 -Rivière Saint-Paul,5469.1,0,0,,51.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.770833,-57.601111,api,1
080101,Harricana,Harricana,0801 -Rivière Harricana,3719.5,3,3,,26.01,0.0799244605903913,0.3063422460694343,0.0957066123982139,0.0907995914399254,0.0694418645819771,0.0483284081016135,0.0631613239414031,0.0612599103348478,0.0663814452198202,0.0795545515851288,0.0731610661787936,0.0589722464343708,0.072826681847549,0.072055256869773,48.598,-78.11,api,1
080104,Turgeon,Turgeon,0801 -Rivière Harricana,11159.93,3,3,,46.86,0.0799244605903913,0.170269683023231,0.0957066123982139,0.0907995914399254,0.0694418645819771,0.0483284081016135,0.0631613239414031,0.0612599103348478,0.0663814452198202,0.0795545515851288,0.0731610661787936,0.0589722464343708,0.072826681847549,0.072055256869773,49.9853649684,-79.0950529718,fermee,1
080106,Bourlamaque,Bourlamaque,0801 -Rivière Harricana,372.41,1,1,,1.344,0.0026101197732663,0.1938289141704801,0.0,0.0,0.0,0.0004328703703703,0.0031125579261544,0.0028121966189674,0.0020317624074742,0.0026101197732663,0.0014510244966651,0.0006068672839506,0.0001203703703703,0.0,48.089444,-77.67041399999998,api,1
080707,Bell,Bell,0807 -Rivière Nottaway,21524.96,4,4,,165.14,0.1250889199335424,0.075689863328694,0.1330916888017722,0.1346829595699918,0.133669217408403,0.1162759366230593,0.128900469654769,0.1337068481588036,0.0820019334129828,0.1250889199335424,0.1142592293659979,0.0952961293661597,0.0945847313052983,0.095208194654769,49.754611,-77.61702799999999,api,1
089907,Bellefeuille,Bellefeuille,08A1 -River Moose,257.13,4,3,,0.161,0.0018651583034647,1.1452162776211638,0.0017297872841639,0.000337436713191,0.0004912671744324,0.0004257253086419,0.0011218787335722,0.0018935956790123,0.0018649716248506,0.0008852075866188,0.0008368595679012,0.0005889224910394,0.0027207647500551,0.0033098046503932,48.74408899999999,-78.86184399999999,api,1
030426,Ewing,Ewing,0304 -Rivière Richelieu,26.3,0,0,,0.01,,,,,,,,,,,,,,,45.12531,-73.07725,atlas_arcgis,0
041903,Dumoine,Dumoine,0419 -Rivière Dumoine,2110.0,0,0,,10.23,,,,,,,,,,,,,,,46.82229,-77.86808,atlas_arcgis,0
042103,Maganasipi,Maganasipi,0421 -Maganasipi,575.0,0,0,,1.266,,,,,,,,,,,,,,,46.33147,-78.34725,atlas_arcgis,0
050501,La Chevrotière,La Chevrotière,0505 -La Chevrotière,19.4,0,0,,0.024,,,,,,,,,,,,,,,46.73717,-72.00089,atlas_arcgis,0
050813,Décharge du lac Clair,Décharge du lac Clair,0508 -Rivière Jacques-Cartier,2.2,0,0,,0.023,,,,,,,,,,,,,,,46.96631,-71.66417,atlas_arcgis,0
050904,St-Charles,St-Charles,0509 -Rivière Saint-Charles,365.0,0,0,,0.792,,,,,,,,,,,,,,,46.816,-71.31981,atlas_arcgis,0
